都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,住所,方書,設置位置,緯度,経度,男性トイレ総数,男性トイレ数（小便器）,男性トイレ数（和式）,男性トイレ数（洋式）,女性トイレ総数,女性トイレ数（和式）,女性トイレ数（洋式）,男女共用トイレ総数,男女共用トイレ数（和式）,男女共用トイレ数（洋式）,多機能トイレ数,車椅子使用者用トイレ有無,乳幼児用設備設置トイレ有無,オストメイト設置トイレ有無,利用開始時間,利用終了時間,利用可能時間特記事項,画像,画像_ライセンス,備考
092088,0110000061,栃木県,小山市,高辻第一公園,タカツジダイイチコウエン,,栃木県小山市駅南町4-12,,,36.302241,139.806659,1,1,0,0,0,0,0,1,0,1,0,有,無,無,,,,,,
092088,0110000062,栃木県,小山市,高辻第二公園,タカツジダイニコウエン,,栃木県小山市駅南町2-13,,,36.301622,139.809709,1,1,0,0,0,0,0,1,0,1,0,有,無,無,,,,,,
092088,0110000063,栃木県,小山市,通宿公園,トオリジュクコウエン,,栃木県小山市神鳥谷4-8,,,36.297102,139.787488,1,1,0,0,0,0,0,1,0,1,0,有,無,無,,,,,,
092088,0110000064,栃木県,小山市,中渋辺公園,ナカシベコウエン,,栃木県小山市神鳥谷6-11,,,36.294062,139.791632,1,1,0,0,0,0,0,1,0,1,0,有,無,無,,,,,,
092088,0110000065,栃木県,小山市,中丸公園,ナカマルコウエン,,栃木県小山市城北1-9-5,,,36.323935,139.814156,0,0,0,0,0,0,0,1,0,1,0,有,無,無,,,,,,
092088,0110000066,栃木県,小山市,中山公園,ナカヤマコウエン,,栃木県小山市東城南2-18,,,36.296414,139.817090,1,1,0,0,0,0,0,1,0,1,0,有,無,無,,,,,,
092088,0110000067,栃木県,小山市,生井桜づつみ公園,ナマイサクラヅツミコウエン,,栃木県小山市白鳥350-2,,,36.245386,139.701225,2,2,0,0,1,1,0,1,0,1,0,有,無,無,,,,,,
092088,0110000068,栃木県,小山市,生井ふるさと公園,ナマイフルサトコウエン,,栃木県小山市下生井1886,,,36.241095,139.707722,2,2,0,0,0,0,0,1,1,0,0,無,無,無,,,,,,
092088,0110000069,栃木県,小山市,西坪公園,ニシツボコウエン,,栃木県小山市東城南5-20,,,36.288352,139.809242,1,1,0,0,0,0,0,1,0,1,0,有,無,無,,,,,,
092088,0110000070,栃木県,小山市,西山公園,ニシヤマコウエン,,栃木県小山市中久喜4-11,,,36.322121,139.836512,1,1,0,0,0,0,0,1,0,1,0,有,無,無,,,,,,
092088,0110000071,栃木県,小山市,西山南公園,ニシヤマミナミコウエン,,栃木県小山市中久喜1-19,,,36.318517,139.835902,1,1,0,0,0,0,0,1,0,1,0,有,無,無,,,,,,
092088,0110000072,栃木県,小山市,萩山公園,ハギヤマコウエン,,栃木県小山市東城南1-14,,,36.297457,139.810161,1,1,0,0,0,0,0,1,1,0,0,無,無,無,,,,,,
092088,0110000073,栃木県,小山市,白仲公園,ハクナカコウエン,,栃木県小山市駅東通り3-15-2,,,36.317925,139.812144,1,1,0,0,0,0,0,1,0,1,0,有,無,無,,,,,,
092088,0110000074,栃木県,小山市,鉢形四ツ沼公園,ハチガタヨツヌマコウエン,,栃木県小山市鉢形1250-6,,,36.338391,139.856718,1,1,0,0,0,0,0,1,0,1,0,有,無,無,,,,,,
092088,0110000075,栃木県,小山市,八幡公園,ハチマンコウエン,,栃木県小山市西城南5-25,,,36.292941,139.793504,1,1,0,0,0,0,0,1,0,1,0,有,無,無,,,,,,
092088,0110000076,栃木県,小山市,羽川ふれあい公園,ハネカワフレアイコウエン,,栃木県小山市羽川96-1,,,36.350317,139.826879,1,1,0,0,0,0,0,1,0,1,0,有,無,無,,,,,,
092088,0110000077,栃木県,小山市,日の出公園,ヒノデコウエン,,栃木県小山市美しが丘1-11,,,36.268471,139.777071,0,0,0,0,0,0,0,1,1,0,0,無,無,無,,,,,,
092088,0110000078,栃木県,小山市,ひまわり広場,ヒマワリヒロバ,,栃木県小山市神鳥谷677-13,,,36.304229,139.794037,1,1,0,0,0,0,0,1,0,1,0,有,無,無,,,,,,
092088,0110000079,栃木県,小山市,富士見公園,フジミコウエン,,栃木県小山市暁1-5,,,36.261218,139.766014,1,1,0,0,0,0,0,1,0,1,0,有,無,無,,,,,,
092088,0110000080,栃木県,小山市,扶桑第一公園,フソウダイイチコウエン,,栃木県小山市扶桑1-11,,,36.356753,139.815151,2,2,0,0,0,0,0,1,1,0,0,無,無,無,,,,,,
092088,0110000081,栃木県,小山市,扶桑第二公園,フソウダイニコウエン,,栃木県小山市扶桑2-26,,,36.358632,139.815336,2,2,0,0,0,0,0,1,1,0,0,無,無,無,,,,,,
092088,0110000082,栃木県,小山市,星ノ宮公園,ホシノミヤコウエ,,栃木県小山市駅東通り3-25-1,,,36.321134,139.813967,0,0,0,0,0,0,0,1,1,0,0,無,無,無,,,,,,
092088,0110000083,栃木県,小山市,町谷公園,マチヤコウエン,,栃木県小山市乙女1176-87,,,36.259037,139.749631,1,1,0,0,0,0,0,1,0,1,0,無,無,無,,,,,,
092088,0110000084,栃木県,小山市,間々田美しが丘,ママダウツクシガオカコウエン,,栃木県小山市美しが丘3-1,,,36.264461,139.773588,3,2,1,0,2,2,0,1,0,1,0,有,有,無,,,,,,
092088,0110000085,栃木県,小山市,間々田八幡公園,ママダハチマンコウエン,,栃木県小山市間々田2369,,,36.273547,139.767183,1,1,0,0,2,0,2,1,0,1,0,有,無,無,,,,,,
092088,0110000086,栃木県,小山市,南原公園,ミナミハラコウエン,,栃木県小山市延島2399-11,,,36.344817,139.879414,1,1,0,0,0,0,0,1,0,1,0,有,無,無,,,,,,
092088,0110000087,栃木県,小山市,宮内公園,ミヤウチコウエン,,栃木県小山市粟宮1-12,,,36.292989,139.787088,1,1,0,0,0,0,0,1,0,1,0,有,無,無,,,,,,
092088,0110000088,栃木県,小山市,向原北公園,ムカイハラキタコウウエン,,栃木県小山市城北3-18-10,,,36.326396,139.823545,1,1,0,0,0,0,0,1,0,1,0,有,無,無,,,,,,
092088,0110000089,栃木県,小山市,向原南公園,ムカイハラミナミコウエン,,栃木県小山市城北4-21-6,,,36.322637,139.821820,1,1,0,0,0,0,0,1,0,1,0,有,無,無,,,,,,
092088,0110000090,栃木県,小山市,もみじ公園,モミジコウエン,,栃木県小山市暁3-3,,,36.255838,139.760404,1,1,0,0,0,0,0,1,0,1,0,有,無,無,,,,,,
092088,0110000091,栃木県,小山市,森子塚公園,モリコヅカコウエン,,栃木県小山市駅南町6-11,,,36.300920,139.814555,1,1,0,0,0,0,0,1,0,1,0,有,無,無,,,,,,
092088,0110000092,栃木県,小山市,やすらぎの森,ヤスラギノモリ,,栃木県小山市高椅1739,,駐車場西側,36.341809,139.882242,3,2,1,0,2,2,0,0,0,0,0,無,無,無,,,,,,
092088,0110000093,栃木県,小山市,やすらぎの森,ヤスラギノモリ,,栃木県小山市高椅1739,,多目的広場南側,36.340485,139.882869,2,2,0,0,0,0,0,2,0,2,0,無,無,無,,,,,,
092088,0110000094,栃木県,小山市,谷端公園,ヤッパタコウエン,,栃木県小山市東間々田3-3,,,36.265403,139.772169,0,0,0,0,0,0,0,1,1,0,0,無,無,無,,,,,,
092088,0110000095,栃木県,小山市,谷ノ中公園,ヤノナカコウエン,,栃木県小山市犬塚5-21,,,36.305042,139.833060,1,1,0,0,0,0,0,1,0,1,0,有,無,無,,,,,,
092088,0110000096,栃木県,小山市,山下通り,ヤマシタドオリ,,栃木県小山市乙女1-26,,,36.261851,139.755555,1,1,0,0,0,0,0,1,0,1,0,有,無,無,,,,,,
092088,0110000097,栃木県,小山市,やまみち公園,ヤマミチコウエン,,栃木県小山市犬塚3-16,,,36.312981,139.831419,0,0,0,0,0,0,0,1,0,1,0,有,無,無,,,,,,
092088,0110000098,栃木県,小山市,やよい公園,ヤヨイコウエン,,栃木県小山市駅東通り1-44,,,36.308268,139.812414,1,1,0,0,0,0,0,1,0,1,0,有,無,無,,,,,,
092088,0110000099,栃木県,小山市,横町公園,ヨコマチコウエン,,栃木県小山市城東6-32,,,36.309655,139.823552,1,1,0,0,0,0,0,1,0,1,0,有,無,無,,,,,,
092088,0110000100,栃木県,小山市,六本木公園,ロッポンギコウエン,,栃木県小山市美しが丘3-32,,,36.259543,139.777574,0,0,0,0,0,0,0,1,1,0,0,無,無,無,,,,,,
