全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,POIコード,所在地_連結表記,建物名等(方書),緯度,経度,管理番号,公簿面積,備考
092088,0114000073,栃木県小山市,屋敷下１号公園,ヤシキシタイチゴウコウエン,1003,栃木県小山市雨ヶ谷新田53-30,,139.818596,36.292558,,,
092088,0114000074,栃木県小山市,渡辺東１号公園,ワタナベヒガシイチゴウコウエン,1003,栃木県小山市雨ヶ谷新田73-98,,139.821347,36.294663,,,
092088,0114000075,栃木県小山市,東畑公園,ヒガシハタコウエン,1003,栃木県小山市雨ヶ谷新田78-24,,139.821371,36.290408,,,
092088,0114000076,栃木県小山市,東畑２号公園,ヒガシハタニゴウコウエン,1003,栃木県小山市雨ヶ谷新田79-63,,139.822758,36.290677,,,
092088,0114000077,栃木県小山市,牛ヶ渕２号公園,ウシガフチニゴウコウエン,1003,栃木県小山市雨ヶ谷新田82-19,,139.82147,36.287662,,,
092088,0114000078,栃木県小山市,牛ヶ渕公園,ウシガフチコウエン,1003,栃木県小山市雨ヶ谷新田83-34,,139.823041,36.284572,,,
092088,0114000079,栃木県小山市,屋敷下５号公園,ヤシキシタゴゴウコウエン,1003,栃木県小山市雨ヶ谷新田8-6,,139.819879,36.291758,,,
092088,0114000080,栃木県小山市,雨ヶ谷町公園,アマガヤチョウコウエン,1003,栃木県小山市雨ヶ谷町26,,139.813071,36.285275,,,
092088,0114000081,栃木県小山市,駅東通り公園,エキヒガシドオリコウエン,1003,栃木県小山市駅東通り1-1020-59,,139.804908,36.308816,,,
092088,0114000082,栃木県小山市,さつき公園,サツキコウエン,1003,栃木県小山市駅東通り1-14,,139.808464,36.308955,,,
092088,0114000083,栃木県小山市,やよい公園,ヤヨイコウエン,1003,栃木県小山市駅東通り1-44,,139.812216,36.308474,,,
092088,0114000084,栃木県小山市,駅東公園,エキヒガシコウエン,1003,栃木県小山市駅東通り2-25,,139.809811,36.311078,,,
092088,0114000085,栃木県小山市,白仲公園,ハクナカコウエン,1003,栃木県小山市駅東通り3-15-2,,139.812049,36.318105,,,
092088,0114000086,栃木県小山市,星ノ宮公園,ホシノミヤコウエン,1003,栃木県小山市駅東通り3-25-1,,139.814132,36.32105,,,
092088,0114000087,栃木県小山市,駅東通り３丁目公園,エキヒガシドオリサンチョウメコウエン,1003,栃木県小山市駅東通り3-965-4,,139.809949,36.316838,,,
092088,0114000088,栃木県小山市,祝町公園,イワイチョウコウエン,1003,栃木県小山市駅南町1-10,,139.809088,36.305326,,,
092088,0114000089,栃木県小山市,高辻第一公園,タカツジダイイチコウエン,1003,栃木県小山市駅南町2-13,,139.806427,36.302077,,,
092088,0114000090,栃木県小山市,高辻第二公園,タカツジダイニコウエン,1003,栃木県小山市駅南町4-12,,139.809905,36.301728,,,
092088,0114000091,栃木県小山市,あさひ公園,アサヒコウエン,1003,栃木県小山市駅南町5-6,,139.814606,36.303189,,,
092088,0114000092,栃木県小山市,森子塚公園,モリコヅカコウエン,1003,栃木県小山市駅南町6-11,,139.814338,36.30075,,,
092088,0114000093,栃木県小山市,南原公園,ミナミハラコウエン,1003,栃木県小山市延島2399-11,,139.879343,36.344933,,,
092088,0114000094,栃木県小山市,渡辺公園,ワタナベコウエン,1003,栃木県小山市横倉1298-4,,139.82113,36.29695,,,
092088,0114000095,栃木県小山市,西田７号公園,ニシダナナゴウコウエン,1003,栃木県小山市横倉1303-4,,139.820392,36.296076,,,
092088,0114000096,栃木県小山市,渡辺２号公園,ワタナベニゴウコウエン,1003,栃木県小山市横倉1310-3,,139.820066,36.295302,,,
092088,0114000097,栃木県小山市,西田公園,ニシダコウエン,1003,栃木県小山市横倉1311-14,,139.820346,36.294688,,,
092088,0114000098,栃木県小山市,西田４号公園,ニシダヨンゴウコウエン,1003,栃木県小山市横倉1317-18,,139.819872,36.293949,,,
092088,0114000099,栃木県小山市,西田２号公園,ニシダニゴウコウエン,1003,栃木県小山市横倉1321-16,,139.819816,36.29333,,,
092088,0114000100,栃木県小山市,西田５号公園,ニシダゴゴウコウエン,1003,栃木県小山市横倉1325-6,,139.819263,36.293292,,,
092088,0114000101,栃木県小山市,西田６号公園,ニシダロクゴウコウエン,1003,栃木県小山市横倉1349-9,,139.81571,36.290683,,,
092088,0114000102,栃木県小山市,西田３号公園,ニシダサンゴウコウエン,1003,栃木県小山市横倉1364-27,,139.81442,36.288116,,,
092088,0114000103,栃木県小山市,横倉本郷公園,ヨコクラホンゴウコウエン,1003,栃木県小山市横倉20-7,,139.829622,36.272724,,,
092088,0114000104,栃木県小山市,宮ノ内２号公園,ミヤノウチニゴウコウエン,1003,栃木県小山市横倉464-2,,139.828451,36.275292,,,
092088,0114000105,栃木県小山市,宮ノ内公園,ミヤノウチコウエン,1003,栃木県小山市横倉466-13,,139.82712,36.27594,,,
092088,0114000106,栃木県小山市,宮ノ内３号公園,ミヤノウチサンゴウコウエン,1003,栃木県小山市横倉474-50,,139.82772,36.274626,,,
092088,0114000107,栃木県小山市,中林３号公園,ナカバヤシサンゴウコウエン,1003,栃木県小山市横倉481-41,,139.826382,36.279723,,,
092088,0114000108,栃木県小山市,中林２号公園,ナカバヤシニゴウコウエン,1003,栃木県小山市横倉482-31,,139.827293,36.278264,,,
092088,0114000109,栃木県小山市,中林１号公園,ナカバヤシイチゴウコウエン,1003,栃木県小山市横倉484-10,,139.827208,36.278869,,,
092088,0114000110,栃木県小山市,中林５号公園,ナカバヤシゴゴウコウエン,1003,栃木県小山市横倉487-5,,139.827704,36.278489,,,
092088,0114000111,栃木県小山市,中林４号公園,ナカバヤシヨンゴウコウエン,1003,栃木県小山市横倉502-26,,139.833262,36.277602,,,
092088,0114000112,栃木県小山市,県道公園,ケンドウコウエン,1003,栃木県小山市横倉509-17,,139.833276,36.278914,,,
092088,0114000113,栃木県小山市,戸館公園,トタテコウエン,1003,栃木県小山市横倉787-34,,139.835544,36.27779,,,
092088,0114000114,栃木県小山市,戸舘２号公園,トタテニゴウコウエン,1003,栃木県小山市横倉794-7,,139.835467,36.277823,,,
092088,0114000115,栃木県小山市,街道北２号公園,カイドウキタニゴウコウエン,1003,栃木県小山市横倉新田362-11,,139.822839,36.288459,,,
